serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
106.0,SPCC,PC,lecture,CE,COMPSA,N,AAG,4,409,tuesday,11:15:00,12:15:00,TE,1
107.0,FOSIP,PC,lecture,CE,COMPSA,N,KT,4,409,tuesday,12:15:00,13:15:00,TE,1
108.0,SPCC,PC,lecture,CE,COMPSA,N,AAG,4,407,wednesday,11:15:00,12:15:00,TE,1
109.0,FOSIP,PC,lecture,CE,COMPSA,N,KT,4,407,wednesday,12:15:00,13:15:00,TE,1
110.0,SPCC,PC,lab,CE,COMPSA,A,AAG,6,606A,thursday,11:15:00,13:15:00,TE,2
111.0,SPCC,PC,lab,CE,COMPSA,B,AAG,6,606B,thursday,11:15:00,13:15:00,TE,2
112.0,FOSIP,PC,lab,CE,COMPSA,C,KT,7,702B,thursday,11:15:00,13:15:00,TE,2
113.0,FOSIP,PC,lab,CE,COMPSA,D,KT,7,702A,thursday,11:15:00,13:15:00,TE,2
114.0,SPCC,PC,lab,CE,COMPSA,C,AAG,6,606A,thursday,11:15:00,13:15:00,TE,2
115.0,SPCC,PC,lab,CE,COMPSA,D,AAG,6,606B,thursday,11:15:00,13:15:00,TE,2
116.0,FOSIP,PC,lab,CE,COMPSA,A,KT,6,608,friday,11:15:00,13:15:00,TE,2
117.0,FOSIP,PC,lab,CE,COMPSA,B,JS,4,406B,friday,11:15:00,13:15:00,TE,2
118.0,SPCC,PC,lab,CE,COMPSB,C,AR,7,702A,monday,11:15:00,13:15:00,TE,2
119.0,SPCC,PC,lab,CE,COMPSB,D,AR,7,702B,monday,11:15:00,13:15:00,TE,2
120.0,FOSIP,PC,lab,CE,COMPSB,A,SK,6,603B,monday,11:15:00,13:15:00,TE,2
121.0,FOSIP,PC,lab,CE,COMPSB,B,SK,6,603C,monday,11:15:00,13:15:00,TE,2
122.0,SPCC,PC,lab,CE,COMPSB,A,AR,7,702A,friday,11:15:00,13:15:00,TE,2
123.0,SPCC,PC,lab,CE,COMPSB,B,AR,7,702B,friday,11:15:00,13:15:00,TE,2
124.0,FOSIP,PC,lab,CE,COMPSB,C,SK,6,603B,friday,11:15:00,13:15:00,TE,2
125.0,FOSIP,PC,lab,CE,COMPSB,D,SK,6,603C,friday,11:15:00,13:15:00,TE,2
126.0,FOSIP,PC,lecture,CE,COMPSB,N,SK,6,605,tuesday,11:15:00,12:15:00,TE,1
127.0,SPCC,PC,lecture,CE,COMPSB,N,AR,6,605,tuesday,12:15:00,13:15:00,TE,1
128.0,SPCC,PC,lecture,CE,COMPSB,N,AR,6,609,wednesday,11:15:00,12:15:00,TE,1
129.0,FOSIP,PC,lecture,CE,COMPSB,N,SK,6,609,wednesday,12:15:00,13:15:00,TE,1
130.0,FOSIP,PC,lecture,CE,COMPSB,N,SK,6,605,thursday,11:15:00,12:15:00,TE,1
131.0,SPCC,PC,lecture,CE,COMPSB,N,AR,6,605,thursday,12:15:00,13:15:00,TE,1
132.0,DAA,PC,lecture,CE,COMPSA,N,SND,8,801,monday,10:00:00,11:00:00,SE,1
133.0,PCS,SBC,lab,CE,COMPSA,C,DN,6,607B,monday,11:15:00,13:15:00,SE,2
134.0,DAA,PC,lab,CE,COMPSA,D,SND,6,604,monday,11:15:00,13:15:00,SE,2
135.0,LA,BSC,lab,CE,COMPSA,A,CRG,7,703,monday,11:15:00,13:15:00,SE,2
136.0,CCN,PC,lab,CE,COMPSA,B,AVS,6,606-5,monday,11:15:00,13:15:00,SE,2
137.0,LA,BSC,lecture,CE,COMPSA,N,CRG,8,801,monday,14:00:00,15:00:00,SE,1
138.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,8,801,monday,14:00:00,15:00:00,SE,1
139.0,DSA,M,lecture,all,all,N,NR,6,609,monday,16:00:00,18:00:00,SE,2
140.0,OS,M,lab,all,all,A,JR,6,606,monday,16:00:00,18:00:00,SE,2
141.0,CCN,PC,lecture,CE,COMPSA,N,AVS,8,801,tuesday,09:00:00,10:00:00,SE,1
142.0,DAA,PC,lecture,CE,COMPSA,N,SND,8,801,tuesday,10:00:00,11:00:00,SE,1
143.0,CCN,PC,lab,CE,COMPSA,A,AVS,6,608,tuesday,11:15:00,13:15:00,SE,2
144.0,OS,PC,lab,CE,COMPSA,B,KKD,6,607B,tuesday,11:15:00,13:15:00,SE,2
145.0,LA,BSC,lab,CE,COMPSA,D,CRG,7,703,tuesday,11:15:00,13:15:00,SE,2
146.0,DAA,PC,lab,CE,COMPSA,C,SND,6,604,tuesday,11:15:00,13:15:00,SE,2
147.0,OS,PC,lecture,CE,COMPSA,N,KKD,8,801,tuesday,14:00:00,15:00:00,SE,1
148.0,DSA,M,lab,all,all,A,JR,6,603,tuesday,16:00:00,18:00:00,SE,2
149.0,OS,M,lab,all,all,B,NR,6,606,tuesday,16:00:00,18:00:00,SE,2
150.0,PCS,SBC,lab,CE,COMPSA,D,DN,6,607B,wednesday,09:00:00,11:00:00,SE,2
151.0,OS,PC,lab,CE,COMPSA,A,KKD,6,606-4,wednesday,09:00:00,11:00:00,SE,2
152.0,LA,BSC,lab,CE,COMPSA,B,CRG,7,703,wednesday,09:00:00,11:00:00,SE,2
153.0,LA,BSC,lab,CE,COMPSA,C,SP,6,608,wednesday,09:00:00,11:00:00,SE,2
154.0,PCS,SBC,lecture,CE,COMPSA,N,DN,8,801,wednesday,11:15:00,12:15:00,SE,1
155.0,OS,PC,lecture,CE,COMPSA,N,KKD,8,801,wednesday,12:15:00,13:15:00,SE,1
156.0,LA,BSC,lecture,CE,COMPSA,N,CRG,8,801,wednesday,14:00:00,15:00:00,SE,1
157.0,DSA,M,lecture,all,all,N,NR,6,603,wednesday,16:00:00,18:00:00,SE,2
158.0,OS,M,lecture,all,all,N,JR,6,606,wednesday,16:00:00,18:00:00,SE,2
159.0,OS,PC,lecture,CE,COMPSA,N,KKD,8,801,thursday,09:00:00,10:00:00,SE,1
160.0,DAA,PC,lecture,CE,COMPSA,N,SND,8,801,thursday,10:00:00,11:00:00,SE,1
161.0,OS,PC,lab,CE,COMPSA,D,KKD,6,603-3,thursday,11:15:00,13:15:00,SE,2
162.0,PCS,SBC,lab,CE,COMPSA,A,DN,6,607B,thursday,11:15:00,13:15:00,SE,2
163.0,DAA,PC,lab,CE,COMPSA,B,SND,6,604,thursday,11:15:00,13:15:00,SE,2
164.0,CCN,PC,lab,CE,COMPSA,C,AVS,6,603-2,thursday,11:15:00,13:15:00,SE,2
165.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,thursday,14:00:00,15:00:00,SE,1
166.0,DSA,M,lab,all,all,C,NR,6,603,thursday,16:00:00,18:00:00,SE,2
167.0,OS,M,lab,all,all,C,JR,6,606,thursday,16:00:00,18:00:00,SE,2
168.0,CCN,PC,lab,CE,COMPSA,D,AVS,6,603-2,friday,09:00:00,11:00:00,SE,2
169.0,DAA,PC,lab,CE,COMPSA,A,SND,6,604,friday,09:00:00,11:00:00,SE,2
170.0,PCS,SBC,lab,CE,COMPSA,B,DN,6,607B,friday,09:00:00,11:00:00,SE,2
171.0,OS,PC,lab,CE,COMPSA,C,KKD,6,606-4,friday,09:00:00,11:00:00,SE,2
172.0,CCN,PC,lecture,CE,COMPSA,N,AVS,8,801,friday,11:15:00,12:15:00,SE,1
173.0,CCN,PC,lecture,CE,COMPSA,N,AVS,8,801,friday,12:15:00,13:15:00,SE,1
174.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,friday,14:00:00,15:00:00,SE,1
175.0,LA,BSC,lab,CE,COMPSB,D,CRG,7,703,monday,09:00:00,11:00:00,SE,2
176.0,CCN,PC,lab,CE,COMPSB,A,JS,6,603C,monday,09:00:00,11:00:00,SE,2
177.0,DAA,PC,lab,CE,COMPSB,B,PBB,6,606B,monday,09:00:00,11:00:00,SE,2
178.0,PCS,SBC,lab,CE,COMPSB,C,DN,6,607B,monday,09:00:00,11:00:00,SE,2
179.0,DAA,PC,lecture,CE,COMPSB,N,PBB,6,609,monday,11:15:00,12:15:00,SE,1
180.0,CCN,PC,lecture,CE,COMPSB,N,JS,6,609,monday,12:15:00,13:15:00,SE,1
181.0,FOM-II,BSC(LE),lecture,all,all,DSE,RRS,3,309,monday,14:00:00,15:00:00,SE,1
182.0,DSA,M,lecture,all,all,N,NR,6,609,monday,16:00:00,18:00:00,SE,2
183.0,OS,M,lab,all,all,A,JR,6,606,monday,16:00:00,18:00:00,SE,2
184.0,CCN,PC,lab,CE,COMPSB,B,JS,6,603C,tuesday,09:00:00,11:00:00,SE,2
